Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Cr)
2024-01-11,1096.00,1114.00,1096.00,1104.85,1097.35,23685,63.2926719
2024-01-10,1105.05,1108.55,1088.00,1097.35,1104.15,21277,42.7208282
2024-01-09,1102.00,1118.00,1097.20,1104.15,1099.05,34173,101.8561738
2024-01-08,1109.00,1110.80,1082.15,1099.05,1104.70,37272,132.2649630
2024-01-05,1139.95,1141.00,1094.25,1104.70,1131.55,56724,179.8079479
2024-01-04,1117.05,1137.95,1113.00,1131.55,1112.65,28781,97.4853616
2024-01-03,1122.30,1129.55,1097.00,1112.65,1122.35,48826,156.2236545
2024-01-02,1117.90,1139.50,1101.00,1122.35,1117.85,51661,176.9113096
2024-01-01,1113.00,1134.90,1106.25,1117.85,1104.10,59182,207.7799518
2023-12-29,1092.00,1123.00,1083.55,1104.10,1086.60,78731,279.2196238
2023-12-28,1094.70,1095.00,1079.05,1086.60,1089.85,38415,150.6298839
2023-12-27,1100.00,1102.85,1077.15,1089.85,1094.25,63966,216.2305847
2023-12-26,1027.00,1102.00,1020.70,1094.25,1022.05,196940,781.5123730
2023-12-22,1016.00,1041.00,1012.50,1022.05,1009.65,46490,121.0740298
2023-12-21,988.60,1012.00,980.00,1009.65,988.60,33340,81.5532377
2023-12-20,1033.50,1049.90,985.00,988.60,1033.25,60784,168.7869356
2023-12-19,1040.00,1041.00,1021.10,1033.25,1034.20,28633,62.7575865
2023-12-18,1034.70,1042.85,1027.00,1034.20,1030.00,27575,92.9853889
2023-12-15,1024.75,1044.90,1012.25,1030.00,1008.40,77768,274.8545823
2023-12-14,1011.00,1019.30,1006.20,1008.40,1006.75,29470,113.6470146
2023-12-13,1011.80,1015.00,1001.20,1006.75,1005.75,22909,59.7081643
2023-12-12,1024.10,1025.00,1001.40,1005.75,1018.05,36813,95.3350492
2023-12-11,1004.95,1026.20,999.50,1018.05,996.85,36734,118.3711704
2023-12-08,1024.65,1027.25,990.00,996.85,1018.25,44531,118.3290873
2023-12-07,1019.80,1025.25,1008.10,1018.25,1011.90,31779,80.9537706
2023-12-06,995.00,1029.90,995.00,1011.90,983.20,1052023,408.6424932
2023-12-05,975.00,985.10,973.50,983.20,973.05,48626,126.7480160
2023-12-04,979.00,979.00,971.00,973.05,969.95,25752,58.3658906
2023-12-01,970.30,980.70,966.05,969.95,970.45,24628,58.6936213
2023-11-30,971.70,972.95,962.00,970.45,972.55,27365,78.4516645
2023-11-29,969.95,974.00,967.05,972.55,968.55,19615,44.5768408
2023-11-28,960.60,971.95,958.60,968.55,960.60,21596,52.4537988
2023-11-24,967.00,968.90,958.00,960.60,965.65,14299,39.5602601
2023-11-23,960.45,971.40,960.00,965.65,960.45,23629,69.8034706
2023-11-22,964.00,967.50,951.05,960.45,961.30,20090,43.8480052
2023-11-21,957.00,971.00,957.00,961.30,955.70,15560,37.1996233
2023-11-20,963.70,967.90,953.00,955.70,963.40,25893,37.4562160
2023-11-17,951.55,969.10,951.55,963.40,954.20,31022,79.4932565
2023-11-16,951.50,957.60,948.30,954.20,949.55,21931,48.6679644
2023-11-15,955.00,955.55,948.10,949.55,946.65,21887,44.0803641
2023-11-13,953.90,963.00,945.20,946.65,965.00,53420,123.1980500
2023-11-12,960.95,967.85,955.55,965.00,963.95,10923,21.2359640
2023-11-10,958.00,967.30,952.60,963.95,959.10,16580,41.8628812
2023-11-09,961.00,963.90,955.40,959.10,958.45,16606,44.3728279
2023-11-08,960.20,968.60,954.15,958.45,963.70,28335,87.3456257
2023-11-07,975.95,975.95,961.00,963.70,973.35,22307,52.8398788
2023-11-06,965.00,978.90,965.00,973.35,958.60,19349,39.0076458
2023-11-03,963.95,964.95,956.85,958.60,959.05,11908,26.9726093
2023-11-02,956.00,960.45,953.25,959.05,950.35,16360,22.0798521
2023-11-01,958.50,960.00,949.00,950.35,959.20,18782,34.6976259
2023-10-31,957.95,964.75,952.00,959.20,950.50,16679,41.5165447
2023-10-30,955.00,961.00,948.50,950.50,955.75,20473,38.7793363
2023-10-27,951.80,959.75,947.05,955.75,940.70,20129,38.5954563
2023-10-26,962.00,963.00,935.00,940.70,963.60,41885,100.2001599
2023-10-25,980.00,992.00,962.00,963.60,978.50,34522,71.1796133
2023-10-23,1014.00,1017.15,975.05,978.50,1011.70,41406,81.9468142
2023-10-20,1025.00,1034.15,1010.00,1011.70,1031.25,22299,60.0227719
2023-10-19,1044.00,1044.00,1019.65,1031.25,1044.25,22956,75.6431765
2023-10-18,1047.00,1050.70,1032.30,1044.25,1045.30,29354,101.6879293
2023-10-17,1045.05,1051.00,1042.00,1045.30,1040.85,19619,56.1371940
2023-10-16,1034.90,1050.00,1032.00,1040.85,1035.10,21474,60.9255148
2023-10-13,1035.95,1045.55,1027.00,1035.10,1038.85,20490,42.4085470
2023-10-12,1042.95,1043.00,1030.00,1038.85,1036.10,20166,48.2554005
2023-10-11,1042.00,1063.00,1033.00,1036.10,1016.80,89801,289.0261642
2023-10-10,1008.00,1023.00,1008.00,1016.80,1004.35,19748,37.1315566
2023-10-09,1005.00,1011.00,996.35,1004.35,1012.75,20724,40.7454211
2023-10-06,1012.00,1014.80,1005.30,1012.75,1009.30,15200,35.2200799
2023-10-05,1018.90,1025.00,1006.00,1009.30,1011.25,15520,29.0372801
2023-10-04,1024.85,1024.85,1000.00,1011.25,1025.10,25907,46.2277165
2023-10-03,1032.95,1032.95,1022.05,1025.10,1031.20,16206,23.3278932
2023-09-29,1020.95,1038.70,1018.80,1031.20,1016.15,14858,35.0664329
2023-09-28,1036.00,1049.75,1011.70,1016.15,1043.50,29820,64.0529119
2023-09-27,1041.95,1050.00,1035.90,1043.50,1036.95,20510,48.1212054
2023-09-26,1045.30,1049.45,1035.05,1036.95,1045.30,14988,27.9793685
2023-09-25,1042.00,1048.35,1034.00,1045.30,1035.80,23151,63.9560188
2023-09-22,1039.00,1039.55,1022.05,1035.80,1034.80,20396,50.3064512
2023-09-21,1047.80,1050.45,1030.10,1034.80,1047.80,24637,64.3124600
2023-09-20,1056.15,1056.15,1039.30,1047.80,1057.90,26682,61.8888989
2023-09-18,1070.05,1071.10,1056.15,1057.90,1070.45,18025,35.8477600
2023-09-15,1077.00,1081.50,1063.35,1070.45,1074.55,20780,69.1320985
2023-09-14,1059.00,1077.15,1057.30,1074.55,1052.90,25385,65.2400992
2023-09-13,1050.00,1063.05,1038.05,1052.90,1046.10,27527,78.2931806
2023-09-12,1085.90,1090.90,1043.00,1046.10,1085.90,36175,91.9827151
2023-09-11,1086.00,1098.00,1080.10,1085.90,1085.30,22431,55.6635551
2023-09-08,1086.20,1094.30,1081.60,1085.30,1086.15,20620,51.4533466
2023-09-07,1095.00,1096.20,1078.20,1086.15,1090.10,30838,72.1270532
2023-09-06,1106.00,1107.00,1078.20,1090.10,1103.75,21935,70.0537061
2023-09-05,1096.30,1110.85,1092.15,1103.75,1089.75,38151,135.9273611
2023-09-04,1075.15,1098.00,1070.50,1089.75,1071.15,41329,149.8134308
2023-09-01,1065.00,1076.00,1061.80,1071.15,1061.45,23740,63.2163651
2023-08-31,1063.60,1072.00,1052.60,1061.45,1059.70,23890,66.6404412
2023-08-30,1076.95,1079.85,1056.75,1059.70,1066.90,28920,97.0735782
2023-08-29,1041.00,1077.00,1040.00,1066.90,1035.75,91914,379.5580924
2023-08-28,1015.00,1041.00,1005.75,1035.75,1011.25,50869,201.1440567
2023-08-25,1017.00,1021.00,1000.00,1011.25,1015.65,36875,102.7863653
2023-08-24,1010.05,1017.40,1004.15,1015.65,1004.65,22746,58.2954005
2023-08-23,1009.00,1015.85,1003.50,1004.65,1004.00,20075,64.0076241
2023-08-22,1007.00,1008.00,1000.00,1004.00,1001.05,17815,42.8362636
2023-08-21,998.50,1006.00,996.20,1001.05,998.50,19699,58.3765250
2023-08-18,992.70,1002.00,982.00,998.50,991.40,27954,69.0967705
2023-08-17,992.60,1000.00,988.50,991.40,990.70,23216,69.9146502
2023-08-16,999.50,1000.40,988.50,990.70,1001.65,36079,55.2687629
2023-08-14,1006.00,1007.00,988.20,1001.65,1005.70,35423,64.8413003
2023-08-11,1009.00,1017.05,1002.00,1005.70,1008.05,22597,83.1028414
2023-08-10,1012.00,1015.90,1003.85,1008.05,1010.20,25262,70.1116769
2023-08-09,1009.00,1014.20,987.40,1010.20,1010.35,53893,249.5831453
2023-08-08,1010.00,1031.95,1002.30,1010.35,1039.20,70311,283.7319416
2023-08-07,1055.05,1062.00,1035.10,1039.20,1047.45,27236,73.6286805
2023-08-04,1046.50,1058.80,1042.30,1047.45,1039.50,29480,95.1151880
2023-08-03,1040.00,1046.85,1030.05,1039.50,1041.40,21791,66.7409769
2023-08-02,1059.95,1059.95,1027.05,1041.40,1072.90,55746,181.1355694
2023-08-01,1064.20,1083.60,1059.50,1072.90,1059.35,51018,159.9280275
2023-07-31,1060.30,1071.80,1051.05,1059.35,1051.05,56659,183.8114040
2023-07-28,999.00,1053.95,997.45,1051.05,993.65,1180555,556.6804081
2023-07-27,1003.20,1006.00,986.15,993.65,998.20,25884,101.3629292
2023-07-26,977.10,1002.00,977.10,998.20,977.10,40954,153.0124281
2023-07-25,994.50,995.00,975.00,977.10,990.50,40109,104.3434573
2023-07-24,990.00,997.00,987.00,990.50,987.65,19707,58.6342738
2023-07-21,992.85,994.00,978.60,987.65,994.45,19716,61.9684923
2023-07-20,1001.80,1001.80,990.45,994.45,997.75,26819,56.2052891
2023-07-19,996.00,1004.75,993.00,997.75,997.85,22097,51.9448486
2023-07-18,994.00,1006.00,990.25,997.85,993.65,27209,96.0183344
2023-07-17,986.90,995.80,984.00,993.65,983.50,19095,79.0046615
2023-07-14,979.00,990.60,977.00,983.50,977.00,28529,92.0537831
2023-07-13,987.40,990.50,971.40,977.00,983.45,30320,89.2752479
2023-07-12,993.20,998.20,982.00,983.45,992.25,23616,81.7800221
2023-07-11,998.00,999.00,986.00,992.25,996.30,22989,93.1221419
2023-07-10,1006.00,1007.00,981.75,996.30,1002.20,34685,109.2504490
2023-07-07,1014.10,1026.00,995.50,1002.20,1012.80,38933,124.5493008
2023-07-06,1009.40,1018.00,1004.65,1012.80,1007.35,21327,57.3267062
